product_urls,Brand_Name,smart_phone,Colour,RAM,ROM,Primary_Camera,Secondary_Camera,Display_Size,Battery_Capacity,Prices
https://www.flipkart.com/oneplus-nord-ce-5g-silver-ray-128-gb/p/itmc4c02029d9c90?pid=MOBGDM57QA9WVYBK&lid=LSTMOBGDM57QA9WVYBKPTTE3Y&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_41&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDM57QA9WVYBK.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord CE 5G (Silver Ray, 128 GB)  (6 GB RAM)",Smartphones,Silver Ray,-,-,-,-,-,-,"₹24,999"
https://www.flipkart.com/oneplus-nord-ce-5g-blue-void-128-gb/p/itmd6dcbd8116ed1?pid=MOBGDM4Z5MPJAK5P&lid=LSTMOBGDM4Z5MPJAK5PNKJQPW&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_42&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDM4Z5MPJAK5P.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord CE 5G (Blue Void, 128 GB)  (12 GB RAM)",Smartphones,Blue Void,-,-,-,-,-,-,"₹26,999"
https://www.flipkart.com/oneplus-6t-midnight-black-128-gb/p/itm481488ed3d219?pid=MOBFKFPZZ329975G&lid=LSTMOBFKFPZZ329975GYOC9OZ&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_43&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBFKFPZZ329975G.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 6T (Midnight Black, 128 GB)  (8 GB RAM)",Smartphones,Midnight Black,-,-,-,-,-,-,"₹31,998"
https://www.flipkart.com/oneplus-6t-mirror-black-128-gb/p/itm481488ed3d219?pid=MOBFKFPZBB6JTVQD&lid=LSTMOBFKFPZBB6JTVQD5OW5NX&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_44&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBFKFPZBB6JTVQD.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 6T (Mirror Black, 128 GB)  (6 GB RAM)",Smartphones,Mirror Black,-,-,-,-,-,-,"₹20,990"
https://www.flipkart.com/oneplus-nord-ce-3-lite-5g-chromatic-gray-128-gb/p/itm2cd5a4e659035?pid=MOBGZJ42KHUZZKMN&lid=LSTMOBGZJ42KHUZZKMNIYF0UR&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_45&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGZJ42KHUZZKMN.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord CE 3 Lite 5G (Chromatic Gray, 128 GB)  (8 GB RAM)",Smartphones,Chromatic Gray,-,-,-,-,-,-,"₹19,990"
https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-256-gb/p/itm97eda8b1a1566?pid=MOBGHBZHNPGQGXJY&lid=LSTMOBGHBZHNPGQGXJYDUZQNG&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_46&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGHBZHNPGQGXJY.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord 2T 5G (Gray Shadow, 256 GB)  (12 GB RAM)",Smartphones,Gray Shadow,-,-,-,-,-,-,"₹29,198"
https://www.flipkart.com/oneplus-9-pro-5g-morning-mist-128-gb/p/itm3892a7120e77b?pid=MOBGDM2PF3ZPKZPY&lid=LSTMOBGDM2PF3ZPKZPYLQEVYF&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_47&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBGDM2PF3ZPKZPY.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 9 Pro 5G (Morning Mist, 128 GB)  (8 GB RAM)",Smartphones,Morning Mist,-,-,-,-,-,-,"₹45,990"
https://www.flipkart.com/oneplus-7t-frosted-silver-256-gb/p/itma74f3aece46b1?pid=MOBFKWSYM58EHMY6&lid=LSTMOBFKWSYM58EHMY6PQKZWR&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_2_48&otracker=search&otracker1=search&fm=Search&iid=48e2286b-20fa-47b0-8742-269736495904.MOBFKWSYM58EHMY6.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus 7T (Frosted Silver, 256 GB)  (8 GB RAM)",Smartphones,Frosted Silver,-,-,-,-,-,-,"₹38,500"
https://www.flipkart.com/oneplus-nord-2t-5g-gray-shadow-128-gb/p/itmeadf76c1e8943?pid=MOBGHBZH2S8MWQGQ&lid=LSTMOBGHBZH2S8MWQGQC0BFH6&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBGHBZH2S8MWQGQ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord 2T 5G (Gray Shadow, 128 GB)  (8 GB RAM)",Smartphones,Gray Shadow,-,-,-,-,-,-,"₹27,715"
https://www.flipkart.com/oneplus-nord-gray-onyx-64-gb/p/itm49f817b591982?pid=MOBFUE5H57THFNVJ&lid=LSTMOBFUE5H57THFNVJ8QEWXD&marketplace=FLIPKART&q=Oneplus+NordOneplus+Nord&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=Search&iid=c45f2f62-5926-4fbd-9c13-2ee8c735b78f.MOBFUE5H57THFNVJ.SEARCH&ppt=sp&ppn=sp&ssid=d8x2vtaa5c0000001687263350455&qH=0d6353436ba662fb,"OnePlus Nord (Gray Onyx, 64 GB)  (6 GB RAM)",Smartphones,Gray Onyx,-,-,-,-,-,-,"₹22,890"
